hello 
|---------------------|----------|
|        English Word |     count|
|---------------------|----------|
|---------------------|----------|
|      fighterbombers |         1|
|---------------------|----------|
|---------------------|----------|
|             diocese |         6|
|---------------------|----------|
|---------------------|----------|
|            survives |         5|
|---------------------|----------|
|---------------------|----------|
|          capitalise |         1|
|---------------------|----------|
|---------------------|----------|
|                 8th |        11|
|---------------------|----------|
|---------------------|----------|
|             daggers |         1|
|---------------------|----------|
|---------------------|----------|
|          rigorously |         1|
|---------------------|----------|
|---------------------|----------|
|               vapor |         1|
|---------------------|----------|
|---------------------|----------|
|              earles |         1|
|---------------------|----------|
|---------------------|----------|
|              angons |         1|
|---------------------|----------|
|---------------------|----------|
|              feeder |         3|
|---------------------|----------|
|---------------------|----------|
|              bronze |        19|
|---------------------|----------|
|---------------------|----------|
|         dimensional |        13|
|---------------------|----------|
|---------------------|----------|
|           acetylene |         5|
|---------------------|----------|
|---------------------|----------|
|            director |        45|
|---------------------|----------|
|---------------------|----------|
|            habitual |         3|
|---------------------|----------|
|---------------------|----------|
|               silos |         3|
|---------------------|----------|
|---------------------|----------|
|            landlord |         7|
|---------------------|----------|
|---------------------|----------|
|               chord |         1|
|---------------------|----------|
|---------------------|----------|
|            shanghai |         3|
|---------------------|----------|
|---------------------|----------|
|     kilometersother |         1|
|---------------------|----------|
|---------------------|----------|
|         ausgedehnte |         1|
|---------------------|----------|
|---------------------|----------|
|          photolysis |         3|
|---------------------|----------|
|---------------------|----------|
|            contacts |         9|
|---------------------|----------|
|---------------------|----------|
|          contradict |         1|
|---------------------|----------|
|---------------------|----------|
|           quarterly |         1|
|---------------------|----------|
|---------------------|----------|
|             unleash |         1|
|---------------------|----------|
|---------------------|----------|
|             tourist |        13|
|---------------------|----------|
|---------------------|----------|
|                  qs |         1|
|---------------------|----------|
|---------------------|----------|
|          formidable |         5|
|---------------------|----------|
|---------------------|----------|
|             spatial |         3|
|---------------------|----------|
|---------------------|----------|
|              gestir |         1|
|---------------------|----------|
|---------------------|----------|
|           compounds |        19|
|---------------------|----------|
|---------------------|----------|
|               �mid |         1|
|---------------------|----------|
|---------------------|----------|
|         imagination |         5|
|---------------------|----------|
|---------------------|----------|
|              pratts |         1|
|---------------------|----------|
|---------------------|----------|
|            diskrete |         1|
|---------------------|----------|
|---------------------|----------|
|          saturation |         1|
|---------------------|----------|
|---------------------|----------|
|               linen |         1|
|---------------------|----------|
|---------------------|----------|
|        illustrating |         3|
|---------------------|----------|
|---------------------|----------|
|        fifthlargest |         1|
|---------------------|----------|
|---------------------|----------|
|            variable |        10|
|---------------------|----------|
