hello 
|---------------------|----------|
|        English Word |     count|
|---------------------|----------|
|---------------------|----------|
|             subject |        89|
|---------------------|----------|
|---------------------|----------|
|           narrative |        23|
|---------------------|----------|
|---------------------|----------|
|           cognitive |        11|
|---------------------|----------|
|---------------------|----------|
|              change |       151|
|---------------------|----------|
|---------------------|----------|
|              result |       191|
|---------------------|----------|
|---------------------|----------|
|             desired |        17|
|---------------------|----------|
|---------------------|----------|
|           presented |        45|
|---------------------|----------|
|---------------------|----------|
|            response |        73|
|---------------------|----------|
|---------------------|----------|
|            rational |         9|
|---------------------|----------|
|---------------------|----------|
|           emotional |        15|
|---------------------|----------|
|---------------------|----------|
|                than |      1029|
|---------------------|----------|
|---------------------|----------|
|              rather |       215|
|---------------------|----------|
|---------------------|----------|
|                  an |      2671|
|---------------------|----------|
|---------------------|----------|
|             produce |       123|
|---------------------|----------|
|---------------------|----------|
|              loaded |         7|
|---------------------|----------|
|---------------------|----------|
|               gives |        47|
|---------------------|----------|
|---------------------|----------|
|           synthesis |        15|
|---------------------|----------|
|---------------------|----------|
|          particular |       145|
|---------------------|----------|
|---------------------|----------|
|           encourage |        21|
|---------------------|----------|
|---------------------|----------|
|         selectively |         7|
|---------------------|----------|
|---------------------|----------|
|               facts |        11|
|---------------------|----------|
|---------------------|----------|
|                some |      1321|
|---------------------|----------|
|---------------------|----------|
|                 but |      1647|
|---------------------|----------|
|---------------------|----------|
|            truthful |         1|
|---------------------|----------|
|---------------------|----------|
|           effective |        67|
|---------------------|----------|
|---------------------|----------|
|          completely |        61|
|---------------------|----------|
|---------------------|----------|
|               often |       611|
|---------------------|----------|
|---------------------|----------|
|            audience |        66|
|---------------------|----------|
|---------------------|----------|
|           influence |       147|
|---------------------|----------|
|---------------------|----------|
|                  to |     15830|
|---------------------|----------|
|---------------------|----------|
|               order |       208|
|---------------------|----------|
|---------------------|----------|
|            presents |        12|
|---------------------|----------|
|---------------------|----------|
|               sense |        65|
|---------------------|----------|
|---------------------|----------|
|               basic |       113|
|---------------------|----------|
|---------------------|----------|
|                most |      1270|
|---------------------|----------|
|---------------------|----------|
|                 its |      1610|
|---------------------|----------|
|---------------------|----------|
|                  in |     17626|
|---------------------|----------|
|---------------------|----------|
|         information |       223|
|---------------------|----------|
|---------------------|----------|
|               aimed |        19|
|---------------------|----------|
|---------------------|----------|
|            messages |        26|
|---------------------|----------|
|---------------------|----------|
|                  of |     26438|
|---------------------|----------|
|---------------------|----------|
|                 set |       291|
|---------------------|----------|
|---------------------|----------|
|          propaganda |       282|
|---------------------|----------|
|---------------------|----------|
